Workbook,Sheet,Column,Dtype,Non‑Null,Unique,Sample values
Cows 1.xlsx,Cow Group Summary,Cow Group,object,4,4,"Group A, Group B, Group C"
Cows 1.xlsx,Cow Group Summary,Total Cows Per Group,float64,4,1,0.0
Cows 1.xlsx,Cow Group Summary,Total Cows,float64,1,1,0.0
Cows 1.xlsx,Cow Quantity,Date,datetime64[ns],17,2,"2025-03-10, 2025-04-27"
Cows 1.xlsx,Cow Quantity,Cow Group,object,17,4,"Group A, Group B, Group C"
Cows 1.xlsx,Cow Quantity,Cow ID,object,17,17,"737, 748, 744"
Cows 1.xlsx,Cow Quantity,Breed ,object,17,1,Holstein
Cows 1.xlsx,Cow Quantity,Notes,object,17,1,Sold
Cows 1.xlsx,Food Quantity,Date,object,7,4,"2024-05-01, 2024-05-02, 2024-05-03"
Cows 1.xlsx,Food Quantity,Food Type,object,7,7,"Straw, Summer Corn, Bran"
Cows 1.xlsx,Food Quantity,Total Supplied (kg),int64,7,6,"1000, 2000, 11000"
Cows 1.xlsx,Food Quantity,Total Quantity Used (kg),float64,7,6,"2086.0, 275.5, 5.0"
Cows 1.xlsx,Food Quantity,Remaing Supply (kg),float64,7,7,"-1086.0, 1724.5, 995.0"
Cows 1.xlsx,Growth Tracker,Cow ID,int64,17,15,"737, 763, 764"
Cows 1.xlsx,Growth Tracker,Breed,object,17,1,Holstein
Cows 1.xlsx,Growth Tracker,Weight (kg),int64,17,17,"545, 293, 284"
Cows 1.xlsx,Growth Tracker,Date Weighed,datetime64[ns],17,3,"2025-03-27, 2025-04-27, 2025-05-19"
Cows 1.xlsx,Growth Tracker,Growth Notes,object,5,3,"Initial, Gained 10 kg, Gained 4 kg"
Cows 1.xlsx,Expenses,Date,datetime64[ns],21,7,"2025-03-14, 2025-03-15, 2025-03-26"
Cows 1.xlsx,Expenses,Expense Type,object,21,12,"Feed, Food Transportation, Cows ( 9 )"
Cows 1.xlsx,Expenses,Amount ($),int64,21,18,"111025, 2500, 671925"
Cows 1.xlsx,Expenses,Description,object,11,11,"SC 2t , B 2t , FF 4t , S 0.25t, First Batch ( 4335kg*155 ), 250kg"
Cows 1.xlsx,Expenses,Unnamed: 4,float64,0,0,
Cows 1.xlsx,Expenses,Unnamed: 5,float64,0,0,
Cows 1.xlsx,Expenses,Unnamed: 6,float64,0,0,
Cows 1.xlsx,Expenses,Unnamed: 7,float64,0,0,
Cows 1.xlsx,Expenses,Unnamed: 8,float64,0,0,
Cows 1.xlsx,Expenses,Unnamed: 9,float64,0,0,
Cows 1.xlsx,Expenses,Unnamed: 10,object,1,1, 
Cows 1.xlsx,Selling,Cow ID,object,17,17,"737, 744, 742"
Cows 1.xlsx,Selling,Breed,object,17,1,Holstein
Cows 1.xlsx,Selling,Date Sold,datetime64[ns],17,8,"2025-03-27, 2025-06-02, 2025-06-03"
Cows 1.xlsx,Selling,Weight at Sale (kg),float64,17,17,"545.0, 604.0, 509.0"
Cows 1.xlsx,Selling,Price Per Kilo,float64,17,3,"183.0, 185.0, 190.0"
Cows 1.xlsx,Selling,Sale Price ($),int64,25,18,"99735, 111740, 94165"
Cows 1.xlsx,Selling,Buyer Name,object,17,7,"El Omda, Ahmed Maher, Essam El Gawhara"
Cows 1.xlsx,Selling,Notes,object,17,1,Healthy cow
Cows 1.xlsx,Profit Summary,Description,object,3,3,"Total Sales, Total Expenses, Net Profit"
Cows 1.xlsx,Profit Summary,Amount ($),int64,3,3,"1488580, 1401162, 87418"
Updated_Daily_Usage_Tracker_Linked.xlsx,Daily Usage Tracker,Date,datetime64[ns],1824,1441,"2025-03-15, 2025-03-16, 2025-03-17"
Updated_Daily_Usage_Tracker_Linked.xlsx,Daily Usage Tracker,Food Type,object,1824,7,"Straw, Fattening Feed, Young Calf Feed"
Updated_Daily_Usage_Tracker_Linked.xlsx,Daily Usage Tracker,Quantity Used (kg),float64,466,24,"18.0, 108.0, 16.0"
Updated_Daily_Usage_Tracker_Linked.xlsx,Daily Usage Tracker,Used For (Cow ID or Group),object,466,4,"Group A, Group B, Group C"
